cik,revtq,atq,ltq,niq,derhedglq,ppegtq,fqtr,fyearq,fyr,datacqtr,conm,datadate
29534.0,997.079,1518.27,610.764,29.335,,641.158,1.0,2000.0,1.0,2000Q1,DOLLAR GENERAL CORP,2000-04-30
29534.0,1017.418,1626.962,680.603,27.786,,736.444,2.0,2000.0,1.0,2000Q2,DOLLAR GENERAL CORP,2000-07-31
29534.0,1094.36,1768.009,762.62,45.676,,801.837,3.0,2000.0,1.0,2000Q3,DOLLAR GENERAL CORP,2000-10-31
29534.0,1441.714,2282.462,1420.699,-32.155,,1339.554,4.0,2000.0,1.0,2000Q4,DOLLAR GENERAL CORP,2001-01-31
935703.0,327.111,562.435,180.129,13.952,,235.185,1.0,2000.0,12.0,2000Q1,DOLLAR TREE INC,2000-03-31
935703.0,384.503,602.779,190.309,21.148,,289.128,2.0,2000.0,12.0,2000Q2,DOLLAR TREE INC,2000-06-30
935703.0,377.318,666.186,214.284,21.85,,314.216,3.0,2000.0,12.0,2000Q3,DOLLAR TREE INC,2000-09-30
935703.0,599.173,746.859,228.201,64.672,,335.679,4.0,2000.0,12.0,2000Q4,DOLLAR TREE INC,2000-12-31
29534.0,1202.504,2301.594,1405.974,36.233,,1386.885,1.0,2001.0,1.0,2001Q1,DOLLAR GENERAL CORP,2001-04-30
29534.0,1225.254,2330.324,1414.294,27.1,,1429.373,2.0,2001.0,1.0,2001Q2,DOLLAR GENERAL CORP,2001-07-31
29534.0,1309.125,2469.266,1516.106,46.735,,1454.268,3.0,2001.0,1.0,2001Q3,DOLLAR GENERAL CORP,2001-10-31
29534.0,1586.012,2552.385,1510.667,97.445,,1473.693,4.0,2001.0,1.0,2001Q4,DOLLAR GENERAL CORP,2002-01-31
935703.0,387.319,741.061,209.791,10.783,,,1.0,2001.0,12.0,2001Q1,DOLLAR TREE INC,2001-03-31
935703.0,440.361,772.274,218.001,21.658,,,2.0,2001.0,12.0,2001Q2,DOLLAR TREE INC,2001-06-30
935703.0,444.745,844.91,276.994,14.552,,,3.0,2001.0,12.0,2001Q3,DOLLAR TREE INC,2001-09-30
935703.0,714.846,902.048,250.312,76.088,,443.681,4.0,2001.0,12.0,2001Q4,DOLLAR TREE INC,2001-12-31
29534.0,1389.412,2588.732,1500.072,45.928,,1507.414,1.0,2002.0,1.0,2002Q1,DOLLAR GENERAL CORP,2002-04-30
